2015-12-11 09:23:20.204 : Sofer :00123300 , borderou = null
2015-12-11 09:23:20.555 : Sofer :00120505 , borderou = null
2015-12-11 09:23:21.0 : Sofer :00120509 , borderou = 0001387283
2015-12-11 09:23:25.372 : Sofer :00120510 , borderou = null
2015-12-11 09:23:25.708 : Sofer :00120514 , borderou = null
2015-12-11 09:23:26.092 : Sofer :00120516 , borderou = 0001387233
2015-12-11 09:23:27.687 : Sofer :00120547 , borderou = 0001387244
2015-12-11 09:23:30.603 : Sofer :00120561 , borderou = null
2015-12-11 09:23:30.958 : Sofer :00120570 , borderou = 0001387034
2015-12-11 09:23:33.203 : Sofer :00120975 , borderou = 0001387326
2015-12-11 09:23:35.267 : Sofer :00121255 , borderou = null
2015-12-11 09:23:35.612 : Sofer :00121845 , borderou = null
2015-12-11 09:23:35.965 : Sofer :00122622 , borderou = null
2015-12-11 09:23:36.292 : Sofer :00122743 , borderou = 0001386962
2015-12-11 09:23:37.764 : Sofer :00122857 , borderou = null
2015-12-11 09:23:38.14 : Sofer :00122896 , borderou = null
2015-12-11 09:23:38.512 : Sofer :00123008 , borderou = null
2015-12-11 09:23:38.853 : Sofer :00123065 , borderou = null
2015-12-11 09:23:39.247 : Sofer :00123085 , borderou = null
2015-12-11 09:23:39.597 : Sofer :00123086 , borderou = null
2015-12-11 09:23:39.957 : Sofer :00123108 , borderou = null
2015-12-11 09:23:40.365 : Sofer :00123109 , borderou = null
2015-12-11 09:23:40.699 : Sofer :00123124 , borderou = null
2015-12-11 09:23:41.029 : Sofer :00123129 , borderou = null
2015-12-11 09:23:41.432 : Sofer :00123131 , borderou = null
2015-12-11 09:23:41.815 : Sofer :00123137 , borderou = null
2015-12-11 09:23:42.336 : Sofer :00123140 , borderou = null
2015-12-11 09:23:42.875 : Sofer :00123159 , borderou = null
2015-12-11 09:23:43.303 : Sofer :00123165 , borderou = 0001387310
2015-12-11 09:23:45.267 : Sofer :00123166 , borderou = 0001387193
2015-12-11 09:23:48.627 : Sofer :00123203 , borderou = null
2015-12-11 09:23:48.987 : Sofer :00123263 , borderou = null
2015-12-11 09:23:49.372 : Sofer :00123280 , borderou = null
2015-12-11 09:23:49.782 : Sofer :00123281 , borderou = null
2015-12-11 09:26:11.501 : Sofer :00123300 , borderou = null
2015-12-11 09:26:11.876 : Sofer :00120505 , borderou = null
2015-12-11 09:26:12.424 : Sofer :00120509 , borderou = 0001387283
2015-12-11 09:26:16.326 : Sofer :00120510 , borderou = null
2015-12-11 09:26:16.691 : Sofer :00120514 , borderou = null
2015-12-11 09:26:17.09 : Sofer :00120516 , borderou = 0001387233
2015-12-11 09:26:18.516 : Sofer :00120547 , borderou = 0001387244
2015-12-11 09:26:20.858 : Sofer :00120561 , borderou = null
2015-12-11 09:26:21.29 : Sofer :00120570 , borderou = 0001387034
2015-12-11 09:26:22.993 : Sofer :00120975 , borderou = 0001387326
2015-12-11 09:26:24.975 : Sofer :00121255 , borderou = null
2015-12-11 09:26:25.335 : Sofer :00121845 , borderou = null
2015-12-11 09:26:25.672 : Sofer :00122622 , borderou = null
2015-12-11 09:26:26.064 : Sofer :00122743 , borderou = 0001386962
2015-12-11 09:26:27.481 : Sofer :00122857 , borderou = null
2015-12-11 09:26:27.816 : Sofer :00122896 , borderou = null
2015-12-11 09:26:28.213 : Sofer :00123008 , borderou = null
2015-12-11 09:26:28.608 : Sofer :00123065 , borderou = null
2015-12-11 09:26:29.012 : Sofer :00123085 , borderou = null
2015-12-11 09:26:29.415 : Sofer :00123086 , borderou = null
